Model Name,Model Code for API,Last Updated,Description,Inputs,Outputs,Input Token Limit,Output Token Limit,Key Features,Model Card Link,,,,,,,
GPT-4o,gpt-4o,October 2023 knowledge cutoff,"OpenAI's flagship multimodal model that accepts text, audio, image, and video inputs, and can output text, audio, and images. Best choice for advanced tool use, vision, and multimodal workflows.","text, audio, image, video","text, audio, image","128,000 tokens","16,384 tokens","Multimodal capabilities, Advanced tool use, Vision processing, Real-time audio processing, Function calling, Structured outputs",https://platform.openai.com/docs/models/gpt-4o,,,,,,,
GPT-4o mini,gpt-4o-mini,October 2023 knowledge cutoff,Cost-efficient small multimodal model with strong performance on text and image tasks. Video and audio capabilities coming soon.,"text, image",text,"128,000 tokens","16,384 tokens","Cost-efficient, Text and image processing, MMLU: 82.0%, MGSM: 87.0%, HumanEval: 87.2%, MMMU: 59.4%, Function calling, Structured outputs",https://platform.openai.com/docs/models/gpt-4o-mini,,,,,,,
o1,o1,October 2023 knowledge cutoff,"Advanced reasoning model with chain-of-thought capabilities, designed for complex problem-solving, strategy, coding, and analytical tasks.",text,text,"128,000 tokens","32,768 tokens","Chain-of-thought reasoning, Complex problem solving, Strategy ideation, Advanced coding capabilities, Mathematical reasoning, No image input support",https://platform.openai.com/docs/models/o1,,,,,,,
o1-preview,o1-preview,October 2023 knowledge cutoff,"Limited-access early release of the o1 reasoning model, reserved for original preview access holders.",text,text,"128,000 tokens","32,768 tokens","Single reasoning mode, Limited access, Advanced reasoning capabilities, No developer messages support, No structured outputs",https://platform.openai.com/docs/models/o1-preview,,,,,,,
o1-mini,o1-mini,October 2023 knowledge cutoff,Cost-efficient reasoning model that matches or exceeds o1-preview on STEM benchmarks while being significantly cheaper and faster.,text,text,"128,000 tokens","65,536 tokens","Three reasoning-effort settings (low, medium, high), Structured outputs support, Developer messages support, Streaming support, 80% lower cost than o1-preview, Faster processing, Strong STEM performance",https://platform.openai.com/docs/models/o1-mini,,,,,,,
o3-mini,o3-mini,Recent release,"Latest reasoning model optimized for STEM reasoning (science, math, coding) with improved accuracy and performance over o1-mini.",text,text,"200,000 tokens","100,000 tokens","Three reasoning-effort options, Structured outputs support, Developer messages support, Streaming support, Function calling, STEM optimization, 39% fewer major errors vs o1-mini, 24% lower latency, Triple ChatGPT rate limits",https://platform.openai.com/docs/models/o3-mini,,,,,,,
DALL·E 3,dall-e-3,Current,Advanced image generation model that creates entirely new images from text prompts with built-in safety moderation.,text,images,Text prompts,Single image per request,"Text-to-image generation, Built-in moderation filters, Multiple output formats (PNG, JPG), Multiple resolutions (256×256, 512×512, 1024×1024), Automatic prompt rewriting for safety and detail, No edit or variation endpoints",https://platform.openai.com/docs/models/dall-e-3,,,,,,,
Whisper,whisper-1,Whisper large-v3 available open-source,Speech-to-text model supporting 50+ languages and dialects with improved accuracy for low-quality audio and accents.,audio,text,Audio files,Transcribed text,"50+ languages and dialects support, Improved low-quality audio handling, Overlapping speech recognition, Accent handling, Language identification, Timestamped word-level alignments",https://platform.openai.com/docs/models/whisper-1,,,,,,,
TTS (Text-to-Speech) Speed,tts-1,Current,Speed-optimized text-to-speech model designed for real-time applications with sub-200ms startup in streaming mode.,text,audio,Text input,Audio output,"Six preset voices (Alloy, Echo, Fable, Onyx, Nova, Shimmer), Multiple output formats (MP3, Opus, AAC, FLAC), Real-time streaming support, Sub-200ms startup latency, Optimized for speed",https://platform.openai.com/docs/models/tts-1,,,,,,,
TTS (Text-to-Speech) HD,tts-1-hd,Current,Quality-optimized text-to-speech model designed for naturalness with higher audio quality than the speed-optimized variant.,text,audio,Text input,Audio output,"Six preset voices (Alloy, Echo, Fable, Onyx, Nova, Shimmer), Multiple output formats (MP3, Opus, AAC, FLAC), Real-time streaming support, ~500ms startup latency, Optimized for quality and naturalness",https://platform.openai.com/docs/models/tts-1-hd,,,,,,,
Text Embedding 3 Small,text-embedding-3-small,September 2021 knowledge cutoff,"Cost-efficient embedding model that maps text into numerical vectors for semantic search, clustering, and RAG applications.",text,embeddings,"8,191 tokens","1,536 dimensions","1,536 dimensions, 5× cheaper than ada-002, Improved multilingual performance, MIRACL avg: 44.0%, MTEB avg: 62.3%, Best balance of cost and performance",https://platform.openai.com/docs/models/text-embedding-3-small,,,,,,,
Text Embedding 3 Large,text-embedding-3-large,September 2021 knowledge cutoff,High-performance embedding model with configurable dimensions for demanding multilingual retrieval and semantic tasks.,text,embeddings,"8,191 tokens","3,072 dimensions (configurable down to 256)","3,072 dimensions (configurable), Highest accuracy for multilingual retrieval, Configurable dimensionality, MIRACL avg: 54.9%, MTEB avg: 64.6%, Superior semantic fidelity",https://platform.openai.com/docs/models/text-embedding-3-large,,,,,,,
Omni Moderation Latest,omni-moderation-latest,Current,"Most capable moderation model built on GPT-4o, supporting both text and image inputs with multimodal classification across harm categories.","text, images",moderation_scores,Text and images,Moderation scores,"Multimodal classification (text + images), 42% better multilingual accuracy across 40 languages, Six multimodal categories, Two new text-only categories (illicit, illicit/violent), Calibrated probability scores, Free for all developers",https://platform.openai.com/docs/models/omni-moderation-latest,,,,,,,
Gemini 2.5 Pro,gemini-2.5-pro,December 2024,"Most capable Gemini model with enhanced reasoning, coding, and multimodal capabilities","Text, Images, Audio, Video, Documents",Text,"2,000,000","8,192","Advanced reasoning, multimodal understanding, long context, enhanced coding",https://ai.google.dev/models/gemini-2.5-pro,,,,,,,
Gemini 2.5 Flash,gemini-2.5-flash,December 2024,Fast and efficient model with improved performance and multimodal capabilities,"Text, Images, Audio, Video, Documents",Text,"1,000,000","8,192","Fast inference, multimodal, cost-effective, improved performance",https://ai.google.dev/models/gemini-2.5-flash,,,,,,,
Gemini 2.5 Flash-Lite,gemini-2.5-flash-lite,December 2024,Lightweight version optimized for speed and efficiency,"Text, Images",Text,"1,000,000","8,192","Ultra-fast, lightweight, cost-optimized, basic multimodal",https://ai.google.dev/models/gemini-2.5-flash-lite,,,,,,,
